2018-08-15 18:36:06.6393 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 23:36:37.6030 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 23:36:59.9153 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 23:37:24.6807 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 23:37:45.9150 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 23:38:07.1024 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-15 23:56:06.8613 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 23:56:39.8767 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 23:57:05.1266 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 23:57:29.9077 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 23:57:51.0794 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 23:58:12.2512 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 00:16:06.8696 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 00:16:35.8693 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 00:17:01.1192 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 00:17:25.8535 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 00:17:47.0721 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 00:18:08.2282 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 00:36:06.8934 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 00:36:41.7526 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 00:37:07.1899 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 00:37:28.9397 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 00:37:50.1115 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 00:38:11.2989 ERROR                   60|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 00:56:06.8860 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 00:56:43.3545 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 00:57:08.6981 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 00:57:30.5886 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 00:57:51.7447 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 00:58:12.9165 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 01:16:06.8786 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 01:16:39.5189 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 01:17:01.7689 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 01:17:26.6906 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 01:17:47.8936 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 01:18:09.0653 ERROR                   75|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 01:36:06.9181 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 01:36:39.9491 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 01:37:02.1990 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 01:37:26.9488 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 01:37:48.1831 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 01:38:09.3704 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 01:56:06.9574 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 01:56:40.7073 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 01:57:05.9415 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 01:57:30.6913 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 01:57:51.8318 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 01:58:12.9880 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 02:16:06.9345 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 02:16:39.9029 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 02:17:05.1841 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 02:17:29.9964 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 02:17:51.1526 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 02:18:12.3243 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 02:36:06.9270 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 02:36:39.9269 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 02:37:05.2079 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 02:37:29.9577 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 02:37:51.0982 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 02:38:12.2857 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 02:56:06.9196 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 02:56:42.7319 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 02:57:08.0286 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 02:57:29.7785 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 02:57:50.9502 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 02:58:12.2313 ERROR                   22|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 03:16:06.9435 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 03:16:42.3963 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 03:17:07.6931 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 03:17:29.4430 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 03:17:50.6303 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 03:18:11.8177 ERROR                   25|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 03:36:06.9361 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 03:36:39.3265 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 03:37:01.8263 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-16 03:37:26.6231 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-16 03:37:47.7948 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-16 03:38:08.9666 ERROR                   68|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-16 03:56:06.8973 ERROR                   95|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-16 03:56:39.9128 ERROR                   95|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-16 03:57:05.2095 ERROR                   95|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
